County,Type,Facility Name,Street Address,City,State,ZIP,Location
Queens,Grocery,Key Food,21st St,Long Island City,NY,11101,"21st St
Long Island City, NY 11101
(40.751185675, -73.945148049)"
Queens,Grocery,C-Town Fresh,Hempstead Avenue,Queens Village,NY,11429,"Hempstead Avenue
Queens Village, NY 11429
(40.713820171, -73.737517368)"
Kings,Grocery,Smiley Mini Market Inc.,Flatlands Ave,Brooklyn,NY,11236,"Flatlands Ave
Brooklyn, NY 11236
(40.640211735, -73.90600239)"
Bronx,Grocery,Western Beef #36,Southern Boulevard,Bronx,NY,10460,"Southern Boulevard
Bronx, NY 10460
(40.836247923, -73.888440102)"
Queens,Grocery,C-Town Supermarkets,Fresh Pond Road,Ridgewood,NY,11385,"Fresh Pond Road
Ridgewood, NY 11385
(40.706887204, -73.897125209)"
Kings,Grocery,Green Corner Fish & Farmers Market,Flushing Ave,Brooklyn,NY,11206,"Flushing Ave
Brooklyn, NY 11206
(40.700884, -73.941842)"
New York,Grocery,Jh Grocery Corp,Audubon Ave,New York,NY,10033,"Audubon Ave
New York, NY 10033
(40.848017477, -73.932866751)"
Queens,Grocery,Trade Fair,30th Avenue,Woodside,NY,11377,"30th Avenue
Woodside, NY 11377
(40.759786662, -73.899775406)"
Queens,Grocery,Key Food Fresh,63rd Dr,Rego Park,NY,11374,"63rd Dr
Rego Park, NY 11374
(40.726346719, -73.864778861)"
Kings,Grocery,Shun Li Store,Knickerbocker Av,Brooklyn,NY,11237,"Knickerbocker Av
Brooklyn, NY 11237
(40.702568662, -73.92497553)"
Bronx,Grocery,3600 Bronxwood Food Center Corp.,Bronxwood Avenue,Bronx,NY,10469,"Bronxwood Avenue
Bronx, NY 10469
(40.866245614, -73.861546207)"
Kings,Grocery,Emdad Supermarket Inc,Liberty Avenue,Brooklyn,NY,11208,"Liberty Avenue
Brooklyn, NY 11208
(40.677596884, -73.874627323)"
Kings,Grocery,"Power 7 Market, Inc.",7th Avenue,Brooklyn,NY,11220,"7th Avenue
Brooklyn, NY 11220
(40.639888085, -74.00857688)"
Kings,Grocery,Western Beef #039,Empire Blvd,Brooklyn,NY,11225,"Empire Blvd
Brooklyn, NY 11225
(40.663796101, -73.952562075)"
Bronx,Grocery,C-Town Supermarkets,Broadway,Bronx,NY,10463,"Broadway
Bronx, NY 10463
(40.881507219, -73.902970873)"
Queens,Grocery,Abo Sefein Inc,Forest Ave,Ridgewood,NY,11385,"Forest Ave
Ridgewood, NY 11385
(40.70519061, -73.902144522)"
Queens,Grocery,Foodtown,Bell Boulevard,Bayside,NY,11361,"Bell Boulevard
Bayside, NY 11361
(40.764554163, -73.771488165)"
Queens,Grocery,ShopRite Of 20th Avenue,20th Avenue,College Point,NY,11356,"20th Avenue
College Point, NY 11356
(40.781705098, -73.843860479)"
Queens,Grocery,"Metro Mini Market, Inc.",Metropolitan Ave,Ridgewood,NY,11385,"Metropolitan Ave
Ridgewood, NY 11385
(40.713301942, -73.912337136)"
Richmond,Grocery,Key Food,Sand Lane,Staten Island,NY,10305,"Sand Lane
Staten Island, NY 10305
(40.593579576, -74.068731064)"
New York,Grocery,Super Foodtown,West 160th Street,New York,NY,10032,"West 160th Street
New York, NY 10032
(40.835572395, -73.942648701)"
Bronx,Grocery,El Pueblo Mexicano Fruit & Grocery,East 138th Street Store 1,Bronx,NY,10454,"East 138th Street Store 1
Bronx, NY 10454
(40.80644159, -73.916583355)"
Kings,Grocery,Glatt Mart Inc.,Avenue M,Brooklyn,NY,11230,"Avenue M
Brooklyn, NY 11230
(40.617677031, -73.963010685)"
Kings,Grocery,"C&s E-Superette, Inc.",Fort Hamilton Pky,Brooklyn,NY,11209,"Fort Hamilton Pky
Brooklyn, NY 11209
(40.617089451, -74.027370531)"
Kings,Grocery,C-Town Supermarkets,Church Avenue,Brooklyn,NY,11203,"Church Avenue
Brooklyn, NY 11203
(40.651604081, -73.933218454)"
Bronx,Grocery,Sagal Food,Jerome Avenue,Bronx,NY,10467,"Jerome Avenue
Bronx, NY 10467
(40.882873847, -73.88112239)"
Bronx,Grocery,La Potencia Deli-Grocery Store Corp,East 167th Street,Bronx,NY,10456,"East 167th Street
Bronx, NY 10456
(40.831001581, -73.911466562)"
Queens,Grocery,Key Food,Springfield Blvd,Bayside,NY,11364,"Springfield Blvd
Bayside, NY 11364
(40.752780079, -73.759948575)"
Kings,Grocery,Food Universe,Flatbush Ave,Brooklyn,NY,11226,"Flatbush Ave
Brooklyn, NY 11226
(40.646602568, -73.958112669)"
Kings,Grocery,C-Town Supermarkets,Avenue D,Brooklyn,NY,11203,"Avenue D
Brooklyn, NY 11203
(40.641962238, -73.932229976)"
Kings,Grocery,Coconut Kosher Supermarket Corp.,Broadway,Brooklyn,NY,11206,"Broadway
Brooklyn, NY 11206
(40.702938337, -73.945766539)"
Bronx,Grocery,"188 Park Deli Grocery, Corp.",University Avenue,Bronx,NY,10468,"University Avenue
Bronx, NY 10468
(40.866469572, -73.902462648)"
Kings,Grocery,Metropolitan Citymarket,4th Avenue,Brooklyn,NY,11209,"4th Avenue
Brooklyn, NY 11209
(40.622721585, -74.02838521)"
Kings,Grocery,Fulton Bebe Grocery Store Inc,Fulton Street,Brooklyn,NY,11208,"Fulton Street
Brooklyn, NY 11208
(40.682521989, -73.876106933)"
Kings,Grocery,C-Town Supermarkets,E 98th St,Brooklyn,NY,11212,"E 98th St
Brooklyn, NY 11212
(40.658176583, -73.915269394)"
Queens,Grocery,Key Food,Queens Blvd,Forest Hills,NY,11375,"Queens Blvd
Forest Hills, NY 11375
(40.718826368, -73.837854521)"
Bronx,Grocery,Fine Fare,East Tremont Avenue,Bronx,NY,10457,"East Tremont Avenue
Bronx, NY 10457
(40.847177139, -73.898829356)"
New York,Grocery,Foodtown #609,West 145th Street,New York,NY,10039,"West 145th Street
New York, NY 10039
(40.821851035, -73.939606819)"
Bronx,Grocery,J & R Super Deli Grocery Ii Corp,White Plains Rd,Bronx,NY,10467,"White Plains Rd
Bronx, NY 10467
(40.857975225, -73.867579994)"
Richmond,Grocery,"Cuesta, Inc.",Port Richmond Avenue,Staten Island,NY,10302,"Port Richmond Avenue
Staten Island, NY 10302
(40.631909075, -74.138037464)"
Kings,Grocery,Star Nb Inc,Flatbush Ave,Brooklyn,NY,11226,"Flatbush Ave
Brooklyn, NY 11226
(40.646602568, -73.958112669)"
