CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"2.01","1",Manhattan,"000201","1000201",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000201","4103",4754.49524739000,972312.14035500004,Manhattan,"36061000201","2012",1400000US36061000201,"Census Tract 2.01, New York County, New York","38384800","11002165"
"6","1",Manhattan,"000600","1000600",,Chinatown-Two Bridges,MN0301,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061000600","4103",6976.28621477000,2582705.15745999990,Manhattan,"36061000600","11616",1400000US36061000600,"Census Tract 6, New York County, New York","194389500","37751231"
"14.01","1",Manhattan,"001401","1001401",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001401","4103",5075.33199978000,1006116.58429000003,Manhattan,"36061001401","3543",1400000US36061001401,"Census Tract 14.01, New York County, New York","225717200","37070230"
"14.02","1",Manhattan,"001402","1001402",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001402","4103",4459.15601870000,1226206.24719000002,Manhattan,"36061001402","3418",1400000US36061001402,"Census Tract 14.02, New York County, New York","145582400","30809221"
"18","1",Manhattan,"001800","1001800",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061001800","4103",6391.92117449000,2399276.86434999993,Manhattan,"36061001800","7934",1400000US36061001800,"Census Tract 18, New York County, New York","263160200","47152824"
"22.01","1",Manhattan,"002201","1002201",,Lower East Side,MN0302,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002201","4103",5779.06260724000,1740173.87581000011,Manhattan,"36061002201","6969",1400000US36061002201,"Census Tract 22.01, New York County, New York","167393200","34113295"
"26.01","1",Manhattan,"002601","1002601",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002601","4103",4521.25106638000,1141217.52722999989,Manhattan,"36061002601","3609",1400000US36061002601,"Census Tract 26.01, New York County, New York","111437900","19214883"
"26.02","1",Manhattan,"002602","1002602",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002602","4103",4491.20321958000,1114857.11794000003,Manhattan,"36061002602","4816",1400000US36061002602,"Census Tract 26.02, New York County, New York","243831500","60718891"
"28","1",Manhattan,"002800","1002800",,East Village,MN0303,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),"36061002800","4103",5627.55483658000,1973678.46790000005,Manhattan,"36061002800","6819",1400000US36061002800,"Census Tract 28, New York County, New York","438955200","196430777"
"31","1",Manhattan,"003100","1003100",,Tribeca-Civic Center,MN0102,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061003100","4121",7967.86697746000,2207015.16734999977,Manhattan,"36061003100","2989",1400000US36061003100,"Census Tract 31, New York County, New York","183862400","35864903"
