CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"1","1",Manhattan,"000100","1000100",,The Battery-Governors Island-Ellis Island-Liberty Island,MN0191,MN01,MN01 Financial District-Tribeca (CD 1 Equivalent),"36061000100","4121",10833.04392860000,1843004.52240999998,Manhattan,"36061000100","0",1400000US36061000100,"Census Tract 1, New York County, New York",,
"83","1",Manhattan,"008300","1008300",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061008300","4104",5681.51426302000,1873011.55559000000,Manhattan,"36061008300","3853",1400000US36061008300,"Census Tract 83, New York County, New York","292867100","104641666"
"99.02","1",Manhattan,"009902","1009902",,Chelsea-Hudson Yards,MN0401,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061009902","4104",8383.89303694000,2006894.84251999995,Manhattan,"36061009902","3848",1400000US36061009902,"Census Tract 99.02, New York County, New York","420504400","132030479"
"100","1",Manhattan,"010000","1010000",,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010000","4165",5684.21153375000,1859881.00493999990,Manhattan,"36061010000","2170",1400000US36061010000,"Census Tract 100, New York County, New York","171809800","39340273"
"101","1",Manhattan,"010100","1010100",,Midtown South-Flatiron-Union Square,MN0501,MN05,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),"36061010100","4165",5701.71593196000,1891377.98652000003,Manhattan,"36061010100","2596",1400000US36061010100,"Census Tract 101, New York County, New York","155396100","41360542"
"108.02","1",Manhattan,"010802","1010802",,East Midtown-Turtle Bay,MN0604,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),"36061010802","4165",3142.73680616000,617743.75491300004,Manhattan,"36061010802","3805",1400000US36061010802,"Census Tract 108.02, New York County, New York","424848300","96393294"
"121.01","1",Manhattan,"012101","1012101",,Hell's Kitchen,MN0402,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),"36061012101","4104",3933.12523601000,959570.57603000000,Manhattan,"36061012101","3408",1400000US36061012101,"Census Tract 121.01, New York County, New York","145079800","36275489"
"126.02","1",Manhattan,"012602","1012602",,Upper East Side-Lenox Hill-Roosevelt Island,MN0801,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061012602","4108",4127.74443944000,960965.25201000005,Manhattan,"36061012602","6400",1400000US36061012602,"Census Tract 126.02, New York County, New York","698883100","269869771"
"130","1",Manhattan,"013000","1013000",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061013000","4108",5807.97295431000,1918144.60556999990,Manhattan,"36061013000","3911",1400000US36061013000,"Census Tract 130, New York County, New York","647988200","172950093"
"148.01","1",Manhattan,"014801","1014801",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061014801","4108",3135.95092545000,559215.97959000000,Manhattan,"36061014801","3221",1400000US36061014801,"Census Tract 148.01, New York County, New York","352223700","81505217"
"150.01","1",Manhattan,"015001","1015001",,Upper East Side-Carnegie Hill,MN0802,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015001","4108",3124.39323032000,556354.46036300005,Manhattan,"36061015001","2321",1400000US36061015001,"Census Tract 150.01, New York County, New York","310682700","91496340"
"154.01","1",Manhattan,"015401","1015401",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015401","4108",3966.36283272000,763019.68687600002,Manhattan,"36061015401","5189",1400000US36061015401,"Census Tract 154.01, New York County, New York","700915200","489590079"
"154.02","1",Manhattan,"015402","1015402",,Upper East Side-Yorkville,MN0803,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),"36061015402","4108",3070.90754240000,590439.34812300000,Manhattan,"36061015402","4503",1400000US36061015402,"Census Tract 154.02, New York County, New York","272996200","64984703"
"162","1",Manhattan,"016200","1016200",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061016200","4111",10087.78634410000,2927429.50858000014,Manhattan,"36061016200","9033",1400000US36061016200,"Census Tract 162, New York County, New York","222579700","37668089"
"177","1",Manhattan,"017700","1017700",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017700","4107",5688.50157024000,1878929.74707999988,Manhattan,"36061017700","9382",1400000US36061017700,"Census Tract 177, New York County, New York","1019261600","302915068"
"215","1",Manhattan,"021500","1021500",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061021500","4110",5034.43196557000,750635.02574199997,Manhattan,"36061021500","3856",1400000US36061021500,"Census Tract 215, New York County, New York","147128200","33094380"
"221.02","1",Manhattan,"022102","1022102",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061022102","4110",4893.83957917000,1065533.64290000009,Manhattan,"36061022102","2382",1400000US36061022102,"Census Tract 221.02, New York County, New York","181639200","52959051"
"223.01","1",Manhattan,"022301","1022301",,Manhattanville-West Harlem,MN0902,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061022301","4109",8733.01480272000,2058402.29328000010,Manhattan,"36061022301","7258",1400000US36061022301,"Census Tract 223.01, New York County, New York","218703100","36275464"
"235.02","1",Manhattan,"023502","1023502",,Harlem (North),MN1002,MN10,MN10 Harlem (CD 10 Equivalent),"36061023502","4110",3399.58440531000,447807.89797599998,Manhattan,"36061023502","2206",1400000US36061023502,"Census Tract 235.02, New York County, New York","52646500","16804181"
"241","1",Manhattan,"024100","1024100",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061024100","4112",6466.01176886000,1909667.05327000003,Manhattan,"36061024100","7612",1400000US36061024100,"Census Tract 241, New York County, New York","259099900","37220929"
"255","1",Manhattan,"025500","1025500",,Washington Heights (South),MN1201,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061025500","4112",10781.38140670000,4718124.84312999994,Manhattan,"36061025500","5697",1400000US36061025500,"Census Tract 255, New York County, New York","219662100","124249912"
"281","1",Manhattan,"028100","1028100",,Washington Heights (North),MN1202,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),"36061028100","4112",4852.97327602000,974164.84408700000,Manhattan,"36061028100","3108",1400000US36061028100,"Census Tract 281, New York County, New York","224326800","36853857"
"2","2",Bronx,"000200","2000200",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005000200","4209",15251.73541390000,4877012.54236000031,Bronx,"36005000200","4779",1400000US36005000200,"Census Tract 2, Bronx County, New York","118392400","27930292"
"19.04","2",Bronx,"001904","2001904",,North & South Brother Islands,BX0291,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005001904","4221",6884.55190453000,930649.18696399999,Bronx,"36005001904","0",1400000US36005001904,"Census Tract 19.04, Bronx County, New York",,
"23","2",Bronx,"002300","2002300",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002300","4221",4717.34230537000,1126745.17996999994,Bronx,"36005002300","4742",1400000US36005002300,"Census Tract 23, Bronx County, New York","65013000","16003617"
"27.01","2",Bronx,"002701","2002701",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002701","4221",4100.51370609000,875817.56043900002,Bronx,"36005002701","3080",1400000US36005002701,"Census Tract 27.01, Bronx County, New York","29752300","5421122"
"27.02","2",Bronx,"002702","2002702",,Mott Haven-Port Morris,BX0101,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005002702","4221",6087.90048070000,1677797.98907999997,Bronx,"36005002702","4995",1400000US36005002702,"Census Tract 27.02, Bronx County, New York","45111100","9041861"
"38","2",Bronx,"003800","2003800",,Soundview-Clason Point,BX0902,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005003800","4209",3473.80570572000,682166.27015999996,Bronx,"36005003800","1683",1400000US36005003800,"Census Tract 38, Bronx County, New York","39002500","16811379"
"40.01","2",Bronx,"004001","2004001",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004001","4209",4916.71564064000,1325276.21781000006,Bronx,"36005004001","1739",1400000US36005004001,"Census Tract 40.01, Bronx County, New York","50085800","15490043"
"44","2",Bronx,"004400","2004400",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004400","4209",8648.84096843000,2870570.35980000021,Bronx,"36005004400","4642",1400000US36005004400,"Census Tract 44, Bronx County, New York","51936800","14384222"
"48","2",Bronx,"004800","2004800",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005004800","4209",5435.96613838000,1600408.89595000003,Bronx,"36005004800","4184",1400000US36005004800,"Census Tract 48, Bronx County, New York","81606300","20597147"
"50.01","2",Bronx,"005001","2005001",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005005001","4209",4206.12179565000,1053604.26778999995,Bronx,"36005005001","4960",1400000US36005005001,"Census Tract 50.01, Bronx County, New York","58478100","13751302"
"65","2",Bronx,"006500","2006500",,Melrose,BX0102,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),"36005006500","4221",9811.63837771000,2816010.81172000011,Bronx,"36005006500","6251",1400000US36005006500,"Census Tract 65, Bronx County, New York","76449400","15754628"
"68","2",Bronx,"006800","2006800",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005006800","4209",5589.02760859000,1674049.11606999999,Bronx,"36005006800","3419",1400000US36005006800,"Census Tract 68, Bronx County, New York","51897600","14523912"
"70","2",Bronx,"007000","2007000",,Soundview-Bruckner-Bronx River,BX0901,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007000","4209",6251.69253064000,2207823.35061000008,Bronx,"36005007000","5021",1400000US36005007000,"Census Tract 70, Bronx County, New York","84086200","18651286"
"74","2",Bronx,"007400","2007400",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005007400","4209",6409.12910531000,2012633.62061000010,Bronx,"36005007400","3536",1400000US36005007400,"Census Tract 74, Bronx County, New York","77032000","12946636"
"84","2",Bronx,"008400","2008400",,Castle Hill-Unionport,BX0903,BX09,BX09 Soundview-Parkchester (CD 9 Approximation),"36005008400","4209",6555.89768548000,1674998.45065000001,Bronx,"36005008400","2587",1400000US36005008400,"Census Tract 84, Bronx County, New York","90342900","29579068"
"85","2",Bronx,"008500","2008500",,Longwood,BX0202,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005008500","4221",6463.49910239000,1966131.48221999989,Bronx,"36005008500","5894",1400000US36005008500,"Census Tract 85, Bronx County, New York","131895700","42444999"
"117.01","2",Bronx,"011701","2011701",,Hunts Point,BX0201,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005011701","4221",7818.25319886000,2406951.18349999981,Bronx,"36005011701","1554",1400000US36005011701,"Census Tract 117.01, Bronx County, New York","18470600","4399847"
"117.02","2",Bronx,"011702","2011702",,Hunts Point,BX0201,BX02,BX02 Longwood-Hunts Point (CD 2 Approximation),"36005011702","4221",16178.38276690000,12494793.12869999930,Bronx,"36005011702","0",1400000US36005011702,"Census Tract 117.02, Bronx County, New York",,
"121.01","2",Bronx,"012101","2012101",,Crotona Park East,BX0303,BX03,BX03 Morrisania-Crotona Park East (CD 3 Approximation),"36005012101","4263",4426.94578192000,1251776.20203000004,Bronx,"36005012101","3319",1400000US36005012101,"Census Tract 121.01, Bronx County, New York","71197300","13875946"
